magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,dmin:Year,dmin:cdi,Year:cdi
6.5,7.0,6,678,431.78896882494007,1.293,19.0,10.0,34.1818,25.7101,2020,5,0,2611.8599999999997,9.051,14140.0
6.5,8.0,8,1410,431.78896882494007,0.885,31.0,12.06,44.4646,-115.118,2020,3,0,1787.7,7.08,16160.0
7.5,6.0,5,879,431.78896882494007,4.109,12.0,57.8,48.9638,157.695,2020,3,1,8300.18,24.654,12120.0
7.0,5.0,6,770,431.78896882494007,4.501,25.0,143.0,45.6161,148.959,2020,2,1,9092.02,22.505000000000003,10100.0
7.7,9.0,6,1812,431.78896882494007,1.657,26.0,14.86,19.4193,-78.756,2020,1,1,3347.14,14.913,18180.0
6.7,8.0,9,1247,431.78896882494007,0.87,49.0,10.0,38.4312,39.0609,2020,1,0,1757.4,6.96,16160.0
6.8,9.0,7,825,431.78896882494007,0.546,39.0,18.0,6.6969,125.174,2019,12,1,1102.374,4.914000000000001,18171.0
7.1,6.0,6,799,431.78896882494007,1.271,11.0,33.0,1.6213,126.416,2019,11,1,2566.149,7.6259999999999994,12114.0
6.5,-999.0,2,650,431.78896882494007,4.765,25.0,577.0,-21.9449,-179.511,2019,11,0,9620.535,-4760.235,-2016981.0
6.6,4.0,4,673,431.78896882494007,5.086,48.0,10.0,-18.5747,-175.272,2019,11,1,10268.634,20.344,8076.0
6.5,9.0,7,733,431.78896882494007,0.428,19.0,10.0,6.9098,125.178,2019,10,1,864.132,3.852,18171.0
6.6,9.0,7,780,431.78896882494007,0.646,24.0,15.0,6.7567,125.008,2019,10,1,1304.2740000000001,5.814,18171.0
6.7,7.0,6,844,431.78896882494007,1.269,98.0,11.0,-35.4758,-73.163,2019,9,1,2562.111,8.883,14133.0
6.5,7.0,7,656,431.78896882494007,3.909,15.0,12.26,-3.4528,128.37,2019,9,1,7892.271,27.363,14133.0
6.6,2.0,3,671,431.78896882494007,4.121,19.0,591.0,-20.3641,-178.57,2019,9,1,8320.299,8.242,4038.0
6.6,-999.0,4,670,431.78896882494007,12.896,19.0,16.0,-60.2152,-26.5801,2019,8,1,26037.024,-12883.104000000001,-2016981.0
6.9,4.0,6,875,431.78896882494007,2.839,23.0,49.0,-7.2822,104.791,2019,8,0,5731.941,11.356,8076.0
6.8,6.0,6,947,431.78896882494007,0.817,35.0,25.0,-34.2364,-72.3102,2019,8,1,1649.523,4.901999999999999,12114.0
6.6,-999.0,4,670,431.78896882494007,6.024,30.0,181.0,-16.1985,167.998,2019,7,1,12162.456,-6017.976,-2016981.0
7.2,7.0,7,809,431.78896882494007,1.504,38.0,18.98,-0.5858,128.034,2019,7,1,3036.576,10.528,14133.0
6.6,5.0,5,791,431.78896882494007,2.978,32.0,10.0,-18.2242,120.358,2019,7,0,6012.582,14.89,10095.0
6.9,7.0,5,747,431.78896882494007,1.205,21.0,35.0,0.5126,126.189,2019,7,0,2432.895,8.435,14133.0
7.1,9.0,9,1646,77.0,0.04616,43.0,8.0,35.7695,-117.599,2019,7,0,93.19704,0.41544,18171.0
7.3,4.0,6,952,431.78896882494007,2.629,16.0,212.0,-6.4078,129.169,2019,6,1,5307.951,10.516,8076.0
7.3,8.0,6,830,431.78896882494007,1.402,11.0,46.0,-30.6441,-178.1,2019,6,1,2830.638,11.216,16152.0
6.6,7.0,6,886,431.78896882494007,1.193,22.0,57.92,13.1994,-89.3056,2019,5,1,2408.667,8.351,14133.0
8.0,9.0,8,1890,431.78896882494007,3.18,17.0,122.57,-5.8119,-75.2697,2019,5,1,6420.42,28.62,18171.0
7.6,7.0,7,929,431.78896882494007,0.453,16.0,10.0,-4.051,152.597,2019,5,1,914.6070000000001,3.1710000000000003,14133.0
7.1,7.0,6,826,431.78896882494007,2.514,16.0,146.0,-6.9746,146.449,2019,5,1,5075.766,17.598,14133.0
6.8,5.0,6,717,431.78896882494007,0.791,28.0,15.46,-1.8146,122.58,2019,4,1,1597.029,3.955,10095.0
6.5,-999.0,5,650,431.78896882494007,7.568,18.0,38.0,-58.6262,-25.304,2019,4,1,15279.792,-7560.432,-2016981.0
7.0,7.0,4,869,431.78896882494007,2.501,42.0,267.0,-14.7131,-70.1546,2019,3,1,5049.518999999999,17.506999999999998,14133.0
7.5,7.0,7,1145,431.78896882494007,2.045,15.0,145.0,-2.1862,-77.0505,2019,2,1,4128.855,14.315,14133.0
6.7,6.0,6,909,431.78896882494007,0.289,43.0,66.0,14.6802,-92.4527,2019,2,1,583.491,1.734,12114.0
6.7,-999.0,3,691,431.78896882494007,7.527,17.0,13.0,-43.1219,42.3568,2019,1,0,15197.013,-7519.473,-2016981.0
6.7,8.0,8,1600,431.78896882494007,0.173,22.0,63.0,-30.0404,-71.3815,2019,1,1,349.287,1.384,16152.0
6.6,5.0,4,671,431.78896882494007,7.818,18.0,35.0,-13.336,166.875,2019,1,1,15784.542,39.089999999999996,10095.0
6.6,2.0,4,672,431.78896882494007,1.596,33.0,43.21,2.258,126.758,2019,1,1,3222.324,3.192,4038.0
6.8,3.0,3,715,431.78896882494007,1.181,16.0,570.41,-8.144,-71.587,2019,1,0,2384.4390000000003,3.543,6057.0
7.0,5.0,5,803,431.78896882494007,1.769,21.0,60.21,5.8983,126.921,2018,12,1,3569.8419999999996,8.844999999999999,10090.0
7.3,3.0,7,822,431.78896882494007,4.126,23.0,16.56,55.0999,164.699,2018,12,1,8326.268,12.378,6054.0
7.1,-999.0,5,776,431.78896882494007,7.043,20.0,133.0,-58.5446,-26.3856,2018,12,1,14212.774,-7035.957,-2015982.0
6.6,-999.0,4,670,431.78896882494007,2.679,31.0,10.0,-22.0629,169.733,2018,12,1,5406.222,-2676.321,-2015982.0
7.5,3.0,6,871,431.78896882494007,2.405,18.0,10.0,-21.9496,169.427,2018,12,1,4853.29,7.215,6054.0
7.1,8.0,8,1790,431.78896882494007,-999.0,58.55258064516131,46.7,61.3464,-149.955,2018,11,1,-2015982.0,-7992.0,16144.0
6.8,-999.0,3,711,431.78896882494007,2.879,39.0,540.0,-17.8735,-178.927,2018,11,1,5809.822,-2876.121,-2015982.0
6.7,3.0,4,693,431.78896882494007,7.853,19.0,10.0,71.6312,-11.2431,2018,11,1,15847.354,23.558999999999997,6054.0
6.8,8.0,7,954,431.78896882494007,2.268,15.0,14.0,37.5203,20.5565,2018,10,0,4576.824,18.144,16144.0
6.5,2.0,4,655,431.78896882494007,1.692,68.0,10.0,49.297,-129.724,2018,10,0,3414.4559999999997,3.384,4036.0
6.8,4.0,4,776,431.78896882494007,1.505,36.0,10.0,49.3346,-129.289,2018,10,1,3037.0899999999997,6.02,8072.0
6.5,3.0,4,669,431.78896882494007,1.611,63.0,10.0,49.2586,-129.412,2018,10,1,3250.998,4.833,6054.0
6.5,-999.0,4,650,431.78896882494007,2.109,22.0,17.0,-21.7427,169.522,2018,10,1,4255.9619999999995,-2106.891,-2015982.0
6.7,-999.0,3,691,431.78896882494007,2.705,17.0,461.0,52.8549,153.243,2018,10,1,5458.6900000000005,-2702.295,-2015982.0
6.5,-999.0,4,650,431.78896882494007,3.923,14.0,20.0,49.2902,156.297,2018,10,1,7916.6140000000005,-3919.077,-2015982.0
7.0,6.0,6,758,431.78896882494007,1.778,18.0,39.0,-5.7012,151.205,2018,10,1,3588.004,10.668,12108.0
6.7,2.0,3,691,431.78896882494007,3.745,23.0,550.0,-18.3604,-178.063,2018,9,1,7557.41,7.49,4036.0
7.5,8.0,8,2026,431.78896882494007,1.649,13.0,20.0,-0.2559,119.846,2018,9,0,3327.6820000000002,13.192,16144.0
6.5,4.0,1,651,431.78896882494007,5.139,18.0,576.0,-25.415,178.199,2018,9,0,10370.502,20.556,8072.0
6.9,3.0,4,735,431.78896882494007,2.785,18.0,115.0,-31.7447,-179.373,2018,9,0,5620.13,8.355,6054.0
6.5,3.0,6,651,431.78896882494007,1.638,25.0,68.0,-10.0207,161.503,2018,9,1,3305.484,4.914,6054.0
7.9,7.0,4,979,431.78896882494007,1.431,12.0,670.81,-18.4743,179.35,2018,9,1,2887.7580000000003,10.017,14126.0
6.6,8.0,9,1075,431.78896882494007,1.13,32.0,35.0,42.6861,141.929,2018,9,1,2280.3399999999997,9.04,16144.0
7.1,2.0,5,776,431.78896882494007,2.548,23.0,21.43,-22.0295,170.126,2018,8,1,5141.8640000000005,5.096,4036.0
7.1,-999.0,3,776,431.78896882494007,3.77,12.0,630.0,-11.0355,-70.8284,2018,8,0,7607.86,-3766.23,-2015982.0
6.5,6.0,7,652,431.78896882494007,4.797,10.0,9.0,-16.0315,168.143,2018,8,1,9680.346,28.781999999999996,12108.0
7.3,8.0,6,1570,431.78896882494007,1.822,15.0,146.82,10.7731,-62.9019,2018,8,1,3676.7960000000003,14.576,16144.0
6.9,7.0,7,1206,431.78896882494007,2.453,31.0,21.0,-8.319,116.627,2018,8,0,4950.1539999999995,17.171,14126.0
8.2,5.0,4,1050,431.78896882494007,3.63,13.0,600.0,-18.1125,-178.153,2018,8,1,7325.34,18.15,10090.0
6.5,5.0,3,743,431.78896882494007,2.719,23.0,529.0,-7.3718,119.802,2018,8,0,5486.942,13.594999999999999,10090.0
6.5,6.0,6,655,431.78896882494007,0.576,22.0,33.93,51.4234,-178.026,2018,8,1,1162.368,3.4559999999999995,12108.0
6.9,9.0,8,1704,431.78896882494007,2.271,15.0,34.0,-8.2581,116.438,2018,8,0,4582.878,20.439,18162.0
6.9,7.0,8,1392,63.0,0.11,210.0,5.81,19.3182,-155.0,2018,5,1,221.98,0.77,14126.0
6.8,5.0,3,733,431.78896882494007,5.32,16.0,559.0,-20.6588,-63.0058,2018,4,0,10735.76,26.6,10090.0
6.9,9.0,6,741,431.78896882494007,1.487,18.0,35.0,-5.5321,151.5,2018,3,1,3000.766,13.383000000000001,18162.0
6.7,5.0,6,696,431.78896882494007,1.507,15.0,40.0,-5.5024,151.402,2018,3,1,3041.1259999999997,7.534999999999999,10090.0
6.8,6.0,6,719,431.78896882494007,1.049,16.0,22.86,-4.3762,153.2,2018,3,1,2116.882,6.294,12108.0
6.7,8.0,7,697,431.78896882494007,5.457,19.0,20.49,-6.3043,142.612,2018,3,1,11012.226,43.656,16144.0
7.5,9.0,8,943,431.78896882494007,5.48,17.0,25.21,-6.0699,142.754,2018,2,1,11058.640000000001,49.32000000000001,18162.0
7.2,7.0,7,1384,431.78896882494007,0.142,82.0,22.0,16.3855,-97.9787,2018,2,1,286.556,0.9939999999999999,14126.0
7.9,9.0,4,1870,431.78896882494007,2.585,30.0,14.06,56.0039,-149.166,2018,1,1,5216.53,23.265,18162.0
7.1,9.0,7,1075,431.78896882494007,4.29,23.0,39.0,-15.7675,-74.7092,2018,1,1,8657.22,38.61,18162.0
7.5,8.0,5,1623,431.78896882494007,4.581,12.0,19.0,17.4825,-83.52,2018,1,1,9244.458,36.648,16144.0
6.5,8.0,7,998,431.78896882494007,2.365,28.0,90.0,-7.4921,108.174,2017,12,0,4770.205000000001,18.92,16136.0
6.5,1.0,5,651,431.78896882494007,17.654,23.0,17.0,-54.2189,2.1628,2017,12,1,35608.118,17.654,2017.0
7.0,4.0,6,771,431.78896882494007,0.617,14.0,10.0,-21.3246,168.671,2017,11,1,1244.489,2.468,8068.0
6.6,4.0,5,676,431.78896882494007,0.529,21.0,13.0,-21.5027,168.598,2017,11,1,1066.9930000000002,2.116,8068.0
6.5,8.0,8,1153,431.78896882494007,0.225,37.0,19.36,9.5147,-84.4865,2017,11,1,453.825,1.8,16136.0
7.3,8.0,9,2790,431.78896882494007,0.284,33.0,19.0,34.9109,45.9592,2017,11,0,572.828,2.272,16136.0
6.5,6.0,5,661,431.78896882494007,4.449,10.0,110.57,-4.2433,143.485,2017,11,1,8973.633,26.694,12102.0
6.8,5.0,5,727,431.78896882494007,4.852,21.0,10.0,-15.3197,-173.168,2017,11,1,9786.484,24.26,10085.0
6.6,3.0,5,674,431.78896882494007,0.788,29.0,22.0,-21.6484,168.859,2017,11,1,1589.396,2.364,6051.0
6.7,3.0,4,691,431.78896882494007,1.062,55.0,24.0,-21.6971,169.148,2017,10,1,2142.054,3.186,6051.0
6.7,3.0,3,694,431.78896882494007,1.634,16.0,553.81,-7.2168,123.074,2017,10,0,3295.778,4.901999999999999,6051.0
6.5,3.0,5,651,431.78896882494007,1.154,11.0,119.0,52.3909,176.769,2017,10,1,2327.618,3.4619999999999997,6051.0
7.1,9.0,8,1686,431.78896882494007,0.984,23.0,48.0,18.5499,-98.4887,2017,9,0,1984.728,8.856,18153.0
8.2,9.0,7,2910,431.78896882494007,0.944,22.0,47.39,15.0222,-93.8993,2017,9,1,1904.048,8.495999999999999,18153.0
6.5,5.0,7,707,431.78896882494007,11.411,22.0,9.0,33.1926,103.855,2017,8,0,23015.986999999997,57.055,10085.0
6.6,7.0,7,1064,431.78896882494007,0.913,16.0,7.0,36.9293,27.4139,2017,7,0,1841.521,6.391,14119.0
7.7,8.0,7,918,431.78896882494007,3.564,13.0,10.0,54.4434,168.857,2017,7,1,7188.588,28.512,16136.0
6.6,5.0,4,704,431.78896882494007,3.773,37.0,10.0,-49.4837,164.016,2017,7,1,7610.1410000000005,18.865000000000002,10085.0
6.5,9.0,8,740,431.78896882494007,4.139,30.0,9.0,11.1269,124.629,2017,7,1,8348.363000000001,37.251000000000005,18153.0
6.8,6.0,6,1034,431.78896882494007,1.065,38.0,38.12,13.7174,-90.9718,2017,6,1,2148.105,6.39,12102.0
6.9,8.0,6,1188,431.78896882494007,0.247,35.0,93.0,14.9091,-92.0092,2017,6,1,498.199,1.976,16136.0
6.8,-999.0,4,711,431.78896882494007,2.308,12.0,5.0,54.0312,170.92,2017,6,1,4655.236,-2305.692,-2014983.0
6.6,7.0,7,678,431.78896882494007,2.353,18.0,12.0,-1.2923,120.431,2017,5,0,4746.001,16.471,14119.0
6.5,-999.0,4,650,431.78896882494007,6.489,17.0,15.0,-56.414,-25.7432,2017,5,1,13088.313,-6482.5109999999995,-2014983.0
6.8,6.0,5,713,431.78896882494007,7.495,19.0,169.0,-14.5884,167.377,2017,5,1,15117.415,44.97,12102.0
